interaction_types;drug_name
substrate;BUDESONIDE
inhibitor;BUFEXAMAC
antagonist;BUFOTENINE
antagonist;BUFURALOL
agonist;BUMETANIDE
antagonist;BUMETANIDE
inhibitor;BUMETANIDE
inhibitor;BUPARLISIB
blocker;BUPIVACAINE
inhibitor;BUPIVACAINE
blocker;BUPIVACAINE HYDROCHLORIDE
antagonist;BUPRANOLOL
agonist;BUPRENORPHINE
antagonist;BUPRENORPHINE
partial agonist;BUPRENORPHINE
agonist;BUPRENORPHINE HYDROCHLORIDE
antagonist;BUPROPION
inhibitor;BUPROPION
negative modulator;BUPROPION
inhibitor;BUPROPION HYDROBROMIDE
inhibitor;BUPROPION HYDROCHLORIDE
antagonist;BURAPITANT
agonist;BURIMAMIDE
antagonist;BURIMAMIDE
antagonist;BURIXAFOR
antagonist;BUROSUMAB
inhibitor;BUROSUMAB
agonist;BUSERELIN
agonist;BUSPIRONE
antagonist;BUSPIRONE
partial agonist;BUSPIRONE
partial agonist;BUSPIRONE HYDROCHLORIDE
modulator;BUSULFAN
antagonist;BUTABARBITAL
inhibitor;BUTABARBITAL
positive modulator;BUTABARBITAL
positive modulator;BUTABARBITAL SODIUM
antagonist;BUTALBITAL
positive modulator;BUTALBITAL
potentiator;BUTALBITAL
antagonist;BUTAMBEN
inhibitor;BUTAMBEN
inhibitor;BUTENAFINE
antagonist;BUTETHAL
potentiator;BUTETHAL
agonist;BUTORPHANOL
partial antagonist;BUTORPHANOL
partial agonist;BUTORPHANOL TARTRATE
antagonist;BUTRIPTYLINE
antagonist,inhibitor;BUTRIPTYLINE
antagonist;BUTYLSCOPOLAMINE
agonist;BVT.115959
inhibitor;BX-795
inhibitor;C-1311
binder;CABAZITAXEL
inhibitor;CABAZITAXEL
agonist;CABERGOLINE
antagonist;CABERGOLINE
binder;CABERGOLINE
antibody;CABIRALIZUMAB
antagonist;CABOZANTINIB
inhibitor;CABOZANTINIB
inhibitor;CABOZANTINIB S-MALATE
activator;CAFFEINE
antagonist;CAFFEINE
antagonist,multitarget;CAFFEINE
inhibitor;CAFFEINE
antagonist;CAFFEINE, CITRATED
inhibitor;CAFUSERTIB
inhibitor;CAL
inhibitor;CAL-263
agonist;CALCIFEDIOL
agonist;CALCIPOTRIENE
agonist;CALCIPOTRIOL
antagonist;CALCIPOTRIOL
agonist;CALCITONIN
agonist;CALCITONIN HUMAN
agonist;CALCITONIN SALMON RECOMBINANT
agonist;CALCITRIOL
antagonist;CALCITRIOL
agonist;CALCIUM
ligand;CALCIUM
antagonist,inhibitor;CALCIUM CARBIMIDE
agonist;CALCIUM CITRATE
ligand;CALCIUM CITRATE
agonist;CALCIUM PHOSPHATE, TRIBASIC
ligand;CALCIUM PHOSPHATE, TRIBASIC
allosteric modulator;CALINDOL
ligand;CAMAZEPAM
positive modulator;CAMAZEPAM
inhibitor;CAMBINOL
agonist;CAMICINAL
inhibitor;CAMOSTAT
activator;CAMPHOR
agonist,activator;CAMPHOR
inhibitor;CAMPHOR
inhibitor;CANAGLIFLOZIN
antibody;CANAKINUMAB
binder;CANAKINUMAB
inhibitor;CANAKINUMAB
inhibitor;CANALINE
antagonist;CANDESARTAN
antagonist;CANDESARTAN CILEXETIL
inhibitor;CANDOXATRIL
inhibitor;CANDOXATRILAT
inhibitor;CANERTINIB
inhibitor;CANERTINIB DIHYDROCHLORIDE
antagonist;CANGRELOR
inhibitor;CANGRELOR
antagonist;CANGRELOR TETRASODIUM
activator;CANNABIDIOL
agonist;CANNABIDIOL
allosteric modulator;CANNABIDIOL
antagonist;CANNABIDIOL
blocker;CANNABIDIOL
inhibitor;CANNABIDIOL
inverse agonist;CANNABIDIOL
modulator,antagonist;CANNABIDIOL
potentiator;CANNABIDIOL
stimulator;CANNABIDIOL
agonist;CANNABIDIVARIN
inhibitor;CANNABIDIVARIN
agonist;CANNABINOL
agonist;CANTHARIDIN
partial agonist;CAPADENOSON
inhibitor;CAPECITABINE
negative modulator;CAPECITABINE
agonist;CAPESEROD
partial agonist;CAPESEROD
inhibitor;CAPIVASERTIB
inhibitor;CAPLACIZUMAB
inhibitor;CAPMATINIB
antibody;CAPROMAB
activator;CAPSAICIN
agonist;CAPSAICIN
blocker;CAPSAZEPINE
agonist;CAPTODIAME
antagonist;CAPTODIAME
inhibitor;CAPTOPRIL
agonist;CARAZOLOL
antagonist;CARAZOLOL
agonist;CARBACHOL
agonist;CARBACYCLIN
activator;CARBAMAZEPINE
allosteric modulator;CARBAMAZEPINE
blocker;CARBAMAZEPINE
inhibitor;CARBAMAZEPINE
inhibitor;CARBENOXOLONE
agonist;CARBETAPENTANE
antagonist;CARBETAPENTANE
inhibitor;CARBETAPENTANE
agonist;CARBETOCIN
inhibitor;CARBIDOPA
inhibitor;CARBIMAZOLE
antagonist;CARBINOXAMINE
antagonist;CARBINOXAMINE MALEATE
modulator;CARBOPLATIN
agonist;CARBOPROST TROMETHAMINE
binder;CARBOXYMETHYLCELLULOSE
agonist;CARFENTANIL
inhibitor;CARFILZOMIB
positive modulator;CARGLUMIC ACID
agonist;CARIPRAZINE
agonist,partial agonist;CARIPRAZINE
antagonist;CARIPRAZINE
modulator;CARIPRAZINE HYDROCHLORIDE
modulator;CARISOPRODOL
modulator,activator;CARISOPRODOL
inhibitor;CARLUMAB
inhibitor;CARMEGLIPTIN
agonist;CARMOTEROL
inhibitor;CARMUSTINE
antibody;CAROTUXIMAB
inhibitor;CAROTUXIMAB
antagonist;CARPHENAZINE
antagonist;CARPHENAZINE MALEATE
inhibitor;CARPROFEN
antagonist;CARTEOLOL
partial agonist;CARTEOLOL
antagonist;CARTEOLOL HYDROCHLORIDE
antagonist;CARVEDILOL
antagonist,potentiator;CARVEDILOL
inhibitor;CARVEDILOL
modulator;CARVEDILOL
antagonist;CARVEDILOL PHOSPHATE
antagonist;CASOPITANT
agonist;CATUMAXOMAB
antibody;CATUMAXOMAB
ligand;CATUMAXOMAB
antagonist;CB-189625
inhibitor;CC-115
inhibitor;CC-223
inhibitor;CC-401
antagonist;CCX140
antagonist;CCX354
inhibitor;CDP840
inhibitor;CDP-860
antagonist;CE-224535
inhibitor;CE-245677
agonist;CE-326597
agonist;CEBRANOPADOL
inhibitor;CEDELIZUMAB
inhibitor;CEDIRANIB
inhibitor;CEFAZOLIN
inhibitor;CEFDINIR
inhibitor;CELECOXIB
agonist;CELIPROLOL
antagonist;CELIPROLOL
binder;CELLULOSE SODIUM PHOSPHATE
antibody;CEMIPLIMAB
inhibitor;CEMIPLIMAB
agonist;CENDERITIDE
stimulator;CENEGERMIN
agonist;CENERIMOD
ligand;CENESTIN
antagonist;CENICRIVIROC
inhibitor;CENISERTIB
allosteric modulator;CENOBAMATE
inhibitor;CEP-11981
inhibitor;CEP-1347
inhibitor;CEP-2563
inhibitor;CEP-32496
inhibitor;CEP-37440
inhibitor;CEP-5214
inhibitor;CEP-7055
inhibitor;CEPHALOTHIN
inhibitor;CEPROTIN
agonist;CER-002
inhibitor;CERALASERTIB
inhibitor;CERDULATINIB
antagonist;CERITINIB
inhibitor;CERITINIB
inhibitor;CERIVASTATIN
inhibitor;CERIVASTATIN SODIUM
antagonist;CERLAPIRDINE
ligand;CERLIPONASE ALFA
inhibitor;CERTOLIZUMAB PEGOL
inhibitor;CERULENIN
inducer;CERULETIDE
agonist;CERULETIDE DIETHYLAMINE
antagonist;CETIRIZINE
antagonist;CETIRIZINE HYDROCHLORIDE
antagonist;CETRORELIX
antagonist;CETRORELIX ACETATE
antagonist;CETUXIMAB
antibody;CETUXIMAB
inhibitor;CETUXIMAB
agonist;CEVIMELINE
agonist;CEVIMELINE HYDROCHLORIDE
inhibitor;CFI-400945
inhibitor;CGS-27023A
inhibitor;CHAETOCIN
allosteric modulator;CHELERYTHRINE
inhibitor;CHELERYTHRINE
inhibitor;CHEMBL104264
inhibitor;CHEMBL1077979
allosteric modulator;CHEMBL1084513
inhibitor;CHEMBL1086377
antagonist;CHEMBL1093266
antagonist;CHEMBL112816
binder;CHEMBL1161866
inhibitor;CHEMBL117225
antagonist;CHEMBL117281
inhibitor;CHEMBL119054
inhibitor;CHEMBL1208085
inhibitor;CHEMBL1213603
ligand;CHEMBL1233973
inhibitor;CHEMBL1236539
agonist,allosteric modulator;CHEMBL1242950
agonist;CHEMBL1256672
agonist;CHEMBL1256797
agonist;CHEMBL126506
inhibitor;CHEMBL126506
negative modulator;CHEMBL126506
agonist;CHEMBL127421
agonist;CHEMBL1289260
activator;CHEMBL1290115
agonist;CHEMBL1290251
antagonist;CHEMBL129257
antagonist;CHEMBL1334465
agonist;CHEMBL1354658
substrate;CHEMBL139908
antagonist;CHEMBL140979
ligand;CHEMBL146245
positive modulator;CHEMBL146245
inhibitor;CHEMBL1476646
agonist;CHEMBL153057
agonist;CHEMBL158578
agonist;CHEMBL159332
inhibitor;CHEMBL1604848
inhibitor;CHEMBL1628669
agonist;CHEMBL1628670
allosteric modulator;CHEMBL1630057
antagonist;CHEMBL1672105
agonist;CHEMBL1672354
agonist;CHEMBL1682258
agonist;CHEMBL169046
antagonist;CHEMBL173562
inhibitor;CHEMBL1765740
agonist;CHEMBL1767409
activator;CHEMBL177991
antagonist;CHEMBL178707
agonist;CHEMBL1790415
inhibitor;CHEMBL1794051
antagonist;CHEMBL179691
antagonist;CHEMBL181633
activator;CHEMBL1818218
agonist;CHEMBL1829173
blocker;CHEMBL185515
antagonist;CHEMBL185951
inhibitor;CHEMBL188434
inhibitor;CHEMBL188678
antagonist;CHEMBL189753
inhibitor;CHEMBL1908395
inhibitor;CHEMBL1908396
antagonist;CHEMBL190883
inhibitor;CHEMBL1910970
inhibitor;CHEMBL1917204
agonist;CHEMBL192359
agonist;CHEMBL193836
inhibitor;CHEMBL1951415
inhibitor;CHEMBL1956070
agonist;CHEMBL196779
agonist;CHEMBL201013
antagonist;CHEMBL201013
antagonist;CHEMBL2018969
agonist;CHEMBL2023109
inhibitor;CHEMBL202701
inhibitor;CHEMBL2062804
inhibitor;CHEMBL2069623
antagonist;CHEMBL207004
inhibitor;CHEMBL209148
antagonist;CHEMBL210692
antagonist;CHEMBL2110360
antagonist;CHEMBL2110363
antagonist;CHEMBL21283
antagonist;CHEMBL214957
antagonist;CHEMBL2151157
inhibitor;CHEMBL2153434
inhibitor;CHEMBL2159511
agonist;CHEMBL216543
binder;CHEMBL216543
inhibitor;CHEMBL216543
inhibitor;CHEMBL2171124
allosteric modulator;CHEMBL2179319
agonist;CHEMBL219182
inhibitor;CHEMBL2203843
inhibitor;CHEMBL228043
substrate;CHEMBL228057
inhibitor;CHEMBL2347958
antagonist;CHEMBL234940
agonist;CHEMBL2365680
agonist,antagonist;CHEMBL2365712
antagonist;CHEMBL2397415
antagonist;CHEMBL2448578
inhibitor;CHEMBL255088
inhibitor;CHEMBL256892
allosteric modulator;CHEMBL257591
inhibitor;CHEMBL259026
inhibitor;CHEMBL261454
agonist;CHEMBL270960
agonist;CHEMBL275628
inhibitor;CHEMBL282093
antagonist;CHEMBL282199
agonist;CHEMBL285819
negative modulator;CHEMBL287038
inhibitor;CHEMBL290376
inhibitor;CHEMBL291314
antagonist;CHEMBL291536
allosteric modulator;CHEMBL292065
partial agonist;CHEMBL292821
inhibitor;CHEMBL294192
antagonist;CHEMBL295212
antagonist;CHEMBL296908
blocker;CHEMBL298475
antagonist;CHEMBL302196
antagonist;CHEMBL306645
agonist;CHEMBL309760
inhibitor;CHEMBL313113
antagonist;CHEMBL317090
inhibitor;CHEMBL3185220
stimulator;CHEMBL3185220
agonist;CHEMBL3188202
inhibitor;CHEMBL322970
agonist;CHEMBL327745
antagonist;CHEMBL3306201
agonist;CHEMBL335538
agonist;CHEMBL336292
antagonist;CHEMBL336292
antagonist;CHEMBL339486
agonist;CHEMBL339611
inhibitor;CHEMBL3397300
inhibitor;CHEMBL3426621
ligand;CHEMBL345292
antagonist;CHEMBL351231
antagonist;CHEMBL359632
antagonist;CHEMBL361355
antagonist;CHEMBL362051
agonist;CHEMBL371214
ligand;CHEMBL371428
inhibitor;CHEMBL374027
antagonist;CHEMBL375270
antagonist;CHEMBL375293
inhibitor;CHEMBL378577
inhibitor;CHEMBL379218
allosteric modulator;CHEMBL381055
antagonist;CHEMBL38288
inhibitor;CHEMBL3924132
agonist;CHEMBL392760
inhibitor;CHEMBL395280
inhibitor;CHEMBL398940
inhibitor;CHEMBL401930
inhibitor;CHEMBL406375
antagonist;CHEMBL407848
agonist;CHEMBL409969
agonist;CHEMBL410478
inhibitor;CHEMBL411274
antagonist;CHEMBL41275
binder;CHEMBL4173394
antagonist;CHEMBL417572
inhibitor;CHEMBL417844
inhibitor;CHEMBL420311
antagonist;CHEMBL422420
agonist;CHEMBL428135
inhibitor;CHEMBL431210
agonist;CHEMBL434063
agonist;CHEMBL435278
agonist;CHEMBL435323
agonist;CHEMBL442494
agonist;CHEMBL442577
agonist;CHEMBL445001
antagonist;CHEMBL446325
antagonist;CHEMBL455536
allosteric modulator;CHEMBL466253
inhibitor;CHEMBL469212
agonist;CHEMBL472273
antagonist;CHEMBL473186
allosteric modulator;CHEMBL473806
antagonist;CHEMBL474991
allosteric modulator;CHEMBL477396
inhibitor;CHEMBL481422
antagonist;CHEMBL482436
ligand;CHEMBL488994
inhibitor;CHEMBL489100
allosteric modulator;CHEMBL490153
blocker;CHEMBL490153
agonist;CHEMBL493076
allosteric modulator;CHEMBL493241
agonist;CHEMBL494303
inhibitor;CHEMBL494897
agonist;CHEMBL497392
antagonist;CHEMBL497392
antagonist;CHEMBL500272
antagonist;CHEMBL504559
agonist;CHEMBL506495
agonist;CHEMBL520992
antagonist;CHEMBL522758
antagonist;CHEMBL522770
allosteric modulator;CHEMBL523685
inhibitor;CHEMBL525191
blocker;CHEMBL52627
agonist;CHEMBL526281
agonist;CHEMBL53325
inhibitor;CHEMBL54004
agonist;CHEMBL561013
inhibitor;CHEMBL561708
antagonist;CHEMBL56331
antagonist;CHEMBL565591
inhibitor;CHEMBL569864
agonist;CHEMBL571858
inhibitor;CHEMBL573107
inhibitor;CHEMBL574003
agonist;CHEMBL59030
antagonist;CHEMBL592652
inhibitor;CHEMBL592893
allosteric modulator;CHEMBL595759
antagonist;CHEMBL597997
allosteric modulator;CHEMBL605836
inhibitor;CHEMBL608559
agonist;CHEMBL609245
antagonist;CHEMBL64716
antagonist;CHEMBL71917
inhibitor;CHEMBL77287
antagonist;CHEMBL88272
allosteric modulator;CHEMBL88553
allosteric modulator;CHEMBL88612
agonist;CHENODIOL
modulator;CHF4227
inhibitor;CHIAURANIB
inhibitor;CHIR-99021
antagonist;CHLOPHEDIANOL
modulator;CHLORAMBUCIL
antagonist;CHLORCYCLIZINE
ligand;CHLORDIAZEPOXIDE
positive modulator;CHLORDIAZEPOXIDE
positive modulator;CHLORDIAZEPOXIDE HYDROCHLORIDE
inducer;CHLORMERODRIN
inhibitor;CHLORMERODRIN
agonist;CHLORMEZANONE
activator;CHLOROFORM
blocker;CHLOROFORM
inhibitor;CHLOROGUANIDE
agonist;CHLOROPHENYLPIPERAZINE
activator;CHLOROPICRIN
inhibitor;CHLOROPROCAINE
blocker;CHLOROPROCAINE HYDROCHLORIDE
antagonist;CHLOROPYRAMINE
agonist;CHLOROQUINE
inhibitor;CHLOROQUINE
modulator;CHLOROQUINE
inhibitor;CHLOROTHIAZIDE
inhibitor;CHLOROTHIAZIDE SODIUM
agonist;CHLOROTRIANISENE
modulator;CHLOROTRIANISENE
antagonist;CHLORPHENIRAMINE
inhibitor;CHLORPHENIRAMINE
antagonist;CHLORPHENIRAMINE MALEATE
antagonist;CHLORPHENIRAMINE POLISTIREX
antagonist;CHLORPROMAZINE
binder;CHLORPROMAZINE
blocker;CHLORPROMAZINE
inhibitor;CHLORPROMAZINE
antagonist;CHLORPROMAZINE HYDROCHLORIDE
blocker;CHLORPROPAMIDE
inhibitor;CHLORPROPAMIDE
antagonist;CHLORPROTHIXENE
inhibitor;CHLORPROTHIXENE
inhibitor;CHLORTHALIDONE
activator;CHLORZOXAZONE
agonist;CHOLECALCIFEROL
agonist;CHOLESTEROL
ligand;CHOLESTEROL
binder;CHOLESTYRAMINE
product of;CHOLINE
agonist;CHOLINE FENOFIBRATE
inhibitor;CHOLINE MAGNESIUM TRISALICYLATE
product of;CHOLINE SALICYLATE
agonist;CHORIOGONADOTROPIN ALFA
activator;CHROMIC CHLORIDE
inhibitor;CHRYSIN
cleavage;CHYMOPAPAIN
allosteric modulator;CI-1040
inhibitor;CI-1040
antagonist;CI-988
agonist;CIBINETIDE
agonist;CICAPROST
agonist;CICLESONIDE
binder;CICLOPIROX
antagonist;CICLOPROLOL
antagonist;CIFORADENANT
agonist;CIGLITAZONE
antagonist;CILANSETRON
inhibitor;CILASTATIN
inhibitor;CILASTATIN SODIUM
inhibitor;CILAZAPRIL
antagonist;CILENGITIDE
inhibitor;CILENGITIDE
antagonist;CILNIDIPINE
blocker;CILOBRADINE
agonist;CILOFEXOR
inhibitor;CILOMILAST
inhibitor;CILOSTAMIDE
inhibitor;CILOSTAZOL
antagonist;CIMETIDINE
inhibitor;CIMETIDINE
antagonist;CIMETIDINE HYDROCHLORIDE
agonist;CINACALCET
allosteric modulator;CINACALCET
positive modulator;CINACALCET HYDROCHLORIDE
antagonist;CINALUKAST
ligand;CINAZEPAM
positive modulator;CINAZEPAM
agonist;CINITAPRIDE
antagonist;CINITAPRIDE
antagonist;CINNARIZINE
binder;CINNARIZINE
inhibitor;CINNARIZINE
ligand;CINOLAZEPAM
positive modulator;CINOLAZEPAM
negative modulator;CINOXACIN
inhibitor;CINPANEMAB
inhibitor;CINROMIDE
inhibitor;CIPEMASTAT
agonist;CIPRALISANT
agonist;CIPRALISANT MALEATE
agonist;CIPROFIBRATE
inhibitor;CIPROFLOXACIN
antagonist;CIPROXIFAN
agonist;CIRAZOLINE
antagonist;CIRAZOLINE
partial agonist;CIRAZOLINE
agonist;CISAPRIDE
blocker;CISAPRIDE
inhibitor;CISAPRIDE
antagonist;CISATRACURIUM
antagonist;CISATRACURIUM BESYLATE
modulator;CISPLATIN
binder;CITALOPRAM
inhibitor;CITALOPRAM
inhibitor;CITALOPRAM HYDROBROMIDE
inhibitor;CITARINOSTAT
inhibitor;CITIBRASINE
antagonist;CIXUTUMUMAB
antibody;CIXUTUMUMAB
inducer;CLADRIBINE
inhibitor;CLADRIBINE
antagonist;CLASCOTERONE
inhibitor;CLAZAKIZUMAB
antagonist;CLAZOSENTAN
allosteric modulator;CLEMASTINE
antagonist;CLEMASTINE
antagonist;CLEMASTINE FUMARATE
blocker;CLEMIZOLE
agonist;CLENBUTEROL
stimulator;CLENBUTEROL
inhibitor;CLENOLIXIMAB
blocker;CLEVIDIPINE
antagonist;CLIDINIUM
antagonist;CLIDINIUM BROMIDE
ligand;CLOBAZAM
positive modulator;CLOBAZAM
agonist;CLOBENPROPIT
antagonist;CLOBENPROPIT
agonist;CLOBETASOL PROPIONATE
agonist;CLOBETASONE
agonist;CLOCORTOLONE
agonist;CLOCORTOLONE PIVALATE
inhibitor;CLOFARABINE
antagonist;CLOFAZIMINE
modulator;CLOFAZIMINE
agonist;CLOFIBRATE
blocker;CLOFILIUM
agonist,antagonist;CLOMIPHENE
antagonist;CLOMIPHENE
modulator;CLOMIPHENE CITRATE
antagonist;CLOMIPRAMINE
inhibitor;CLOMIPRAMINE
inhibitor;CLOMIPRAMINE HYDROCHLORIDE
allosteric modulator;CLONAZEPAM
ligand;CLONAZEPAM
partial agonist;CLONAZEPAM
positive modulator;CLONAZEPAM
agonist;CLONIDINE
inhibitor;CLONIDINE
agonist;CLONIDINE HYDROCHLORIDE
antagonist;CLOPIDOGREL
antagonist;CLOPIDOGREL BISULFATE
agonist;CLOPROSTENOL
positive modulator;CLORAZEPATE DIPOTASSIUM
inhibitor;CLORGILINE
ligand;CLOTIAZEPAM
positive modulator;CLOTIAZEPAM
activator;CLOTRIMAZOLE
agonist;CLOTRIMAZOLE
antagonist;CLOTRIMAZOLE
blocker;CLOTRIMAZOLE
inhibitor;CLOTRIMAZOLE
partial agonist;CLOTRIMAZOLE
antagonist;CLOVE OIL
ligand;CLOXAZOLAM
positive modulator;CLOXAZOLAM
agonist;CLOZAPINE
allosteric modulator;CLOZAPINE
antagonist;CLOZAPINE
agonist;CLX-0921
inhibitor;CM-082
blocker;CNS-5161
blocker;CNV2197944
inhibitor;COBICISTAT
allosteric modulator;COBIMETINIB
inhibitor;COBIMETINIB
inhibitor;COBIMETINIB FUMARATE
activator;COBIPROSTONE
agonist;COCAINE
antagonist;COCAINE
inhibitor;COCAINE
binder;COCARBOXYLASE
agonist;CODEINE
agonist;CODEINE PHOSPHATE
agonist;CODEINE POLISTIREX
agonist;CODEINE SULFATE
antibody;CODRITUZUMAB
binder;COLCHICEINE
antagonist;COLCHICINE
binder,inhibitor;COLCHICINE
inhibitor;COLCHICINE
binder;COLESEVELAM
binder;COLESTIPOL
inhibitor;COLFORSIN
inhibitor;COMETRIQ
agonist;CONATUMUMAB
antibody;CONATUMUMAB
inhibitor;CONBERCEPT
inhibitor;CONCANAMYCIN A
antagonist;CONESSINE
antagonist;CONIVAPTAN
antagonist;CONIVAPTAN HYDROCHLORIDE
inhibitor;COPANLISIB
allosteric modulator;COPPER
cofactor;COPPER
inhibitor;COPPER
blocker;CORREOLIDE
antagonist;CORT 108297
antagonist;CORT 125134
agonist;CORTICOTROPIN
agonist;CORTICOTROPIN RELEASING HORMONE
agonist;CORTICOTROPIN ZINC HYDROXIDE
agonist;CORTISONE ACETATE
agonist;CORTISTATIN-14
agonist;COSYNTROPIN
antagonist;COSYNTROPIN
agonist,antagonist;CP-195543
antagonist;CP-195543
inhibitor;CP-459632
agonist;CP-601927
partial agonist;CP-601927
inhibitor;CP-724714
agonist;CP-778875
allosteric modulator;CPCCOET
inhibitor;CPI-1205
inhibitor;CPP-115
agonist;CR 1447
antagonist;CR-3465
antagonist;CR-6086
ligand;CREATINE
product of;CREATINE
inhibitor;CRENOLANIB
inhibitor;CRISABOROLE
antibody;CRIZANLIZUMAB
inhibitor;CRIZANLIZUMAB
inhibitor;CRIZOTINIB
antagonist;CROFELEMER
blocker;CROFELEMER
inhibitor;CROFELEMER
inhibitor;CROLIBULIN
activator;CROMAKALIM
antibody;CROTEDUMAB
antagonist;CRYPTENAMINE
potentiator,inhibitor;CRYPTENAMINE
agonist;CS-8080
inhibitor;CT-1578
inhibitor;CT-7001
antagonist;CTCE-9908
inhibitor;CUDC-101
inhibitor;CURCUMIN
antisense oligonucleotide;CUSTIRSEN
inhibitor;CUSTIRSEN SODIUM
antagonist;CV-6209
positive modulator;CX1739
allosteric modulator;CX516
antagonist;CYAMEMAZINE
binder;CYANOCOBALAMIN
cofactor;CYANOCOBALAMIN
antagonist;CYANOPINDOLOL
inhibitor;CYC-116
inhibitor;CYCLANDELATE
agonist;CYCLIC ADENOSINE MONOPHOSPHATE
allosteric modulator;CYCLIC ADENOSINE MONOPHOSPHATE
antagonist;CYCLIZINE
inhibitor;CYCLIZINE
antagonist;CYCLIZINE LACTATE
antagonist;CYCLOBENZAPRINE
inhibitor;CYCLOBENZAPRINE
antagonist;CYCLOBENZAPRINE HYDROCHLORIDE
antagonist;CYCLOPENTOLATE
antagonist;CYCLOPENTOLATE HYDROCHLORIDE
inhibitor;CYCLOPHOSPHAMIDE
modulator;CYCLOPHOSPHAMIDE
binder;CYCLOSPORINE
binder,inhibitor;CYCLOSPORINE
inhibitor;CYCLOSPORINE
modulator;CYCLOSPORINE
allosteric modulator;CYCLOTHIAZIDE
inhibitor;CYCLOTHIAZIDE
antagonist;CYCRIMINE
antagonist;CYCRIMINE HYDROCHLORIDE
antagonist;CYPROHEPTADINE
antagonist;CYPROHEPTADINE HYDROCHLORIDE
binder;CYSTEAMINE
cleavage;CYSTEAMINE
substrate;CYSTEINE
inhibitor;CYTARABINE
modulator;CYTARABINE
agonist;CYTISINICLINE
partial agonist;CYTISINICLINE
agonist;D-3263
inhibitor;DABIGATRAN
inhibitor;DABIGATRAN ETEXILATE MESYLATE
antagonist,inhibitor;DABRAFENIB
inhibitor;DABRAFENIB
inhibitor;DABRAFENIB MESYLATE
agonist;DABUZALGRON
partial agonist;DABUZALGRON
inhibitor;DACARBAZINE
modulator;DACARBAZINE
inhibitor;DACETUZUMAB
inhibitor;DACINOSTAT
antibody;DACLIZUMAB
inhibitor;DACLIZUMAB
inhibitor;DACOMITINIB
adduct;DACTINOMYCIN
inhibitor;DACTINOMYCIN
inhibitor;DACTOLISIB
agonist;DADLE
inhibitor;DAGLUTRIL
agonist;DAGROCORAT
modulator;DAGROCORAT
activator;DAIDZEIN
agonist;DAIDZEIN
inhibitor;DALANTERCEPT
inhibitor;DALCETRAPIB
antagonist;DALFAMPRIDINE
blocker;DALFAMPRIDINE
antagonist;DALOTUZUMAB
antibody;DALOTUZUMAB
activator;DALTEPARIN
inhibitor;DALTEPARIN
potentiator;DALTEPARIN
activator;DALTEPARIN SODIUM
antagonist;DALTROBAN
agonist;DAMGO
activator;DANAPAROID
positive modulator;DANAPAROID
activator;DANAPAROID SODIUM
agonist;DANAZOL
inhibitor;DANAZOL
negative modulator;DANAZOL
antagonist;DANIRIXIN
antagonist;DANTROLENE
antagonist;DANTROLENE SODIUM
inhibitor;DANUSERTIB
antagonist,inhibitor;DAPAGLIFLOZIN
inhibitor;DAPAGLIFLOZIN
inhibitor;DAPAGLIFLOZIN PROPYLENE GLYCOL
inhibitor;DAPANSUTRILE
antagonist;DAPIPRAZOLE
antagonist;DAPIPRAZOLE HYDROCHLORIDE
inhibitor;DAPIROLIZUMAB PEGOL
inhibitor;DAPOXETINE
inhibitor;DAPRODUSTAT
inhibitor;DARAPLADIB
antibody;DARATUMUMAB
inhibitor;DARATUMUMAB
agonist;DARBEPOETIN ALFA
agonist;DARGLITAZONE
antagonist;DARIFENACIN
antagonist;DARIFENACIN HYDROBROMIDE
antagonist;DAROLUTAMIDE
inhibitor;DAROLUTAMIDE
antagonist;DAROTROPIUM BROMIDE
antagonist;DARUSENTAN
antagonist;DASATINIB
inhibitor;DASATINIB
multitarget;DASATINIB
antagonist;DASOLAMPANEL
inhibitor;DASOTRALINE
inhibitor;DAUNORUBICIN
negative modulator;DAUNORUBICIN
inhibitor;DAUNORUBICIN CITRATE
inhibitor;DAUNORUBICIN HYDROCHLORIDE
agonist;DAVALINTIDE
inhibitor;DAZOXIBEN
agonist;DB959
inhibitor;DE-104
inhibitor;DEBIO-1347
inducer;DEBRISOQUIN
inhibitor;DECAMETHONIUM
partial agonist;DECAMETHONIUM
partial agonist;DECAMETHONIUM BROMIDE
ligand;DECANOIC ACID
inhibitor;DECERNOTINIB
inhibitor;DECITABINE
modulator;DECOGLURANT
inhibitor;DEFACTINIB
modulator;DEFERASIROX
modulator;DEFEROXAMINE
activator;DEFIBROTIDE SODIUM
agonist;DEFLAZACORT
antagonist;DEGARELIX
antagonist;DEGARELIX ACETATE
inhibitor;DELCASERTIB
inhibitor;DELGOCITINIB
ligand;DELORAZEPAM
positive modulator;DELORAZEPAM
antagonist;DELUCEMINE
inhibitor;DEMCIZUMAB
inhibitor;DEMECARIUM
inhibitor;DEMECARIUM BROMIDE
inhibitor;DEMECLOCYCLINE
agonist;DEMEGESTONE
agonist;DENILEUKIN DIFTITOX
binder;DENILEUKIN DIFTITOX
inhibitor;DENILEUKIN DIFTITOX
agonist;DENOPAMINE
antibody;DENOSUMAB
inhibitor;DENOSUMAB
agonist;DENUFOSOL
agonist;DENUFOSOL TETRASODIUM
inhibitor;DEPAKOTE
antibody;DEPATUXIZUMAB
antagonist,inhibitor;DEQUALINIUM
blocker;DEQUALINIUM
inhibitor;DEQUALINIUM
antagonist;DERAMCICLANE
inverse agonist;DERAMCICLANE
