gene_name;drug_name
CYP3A4;ATAZANAVIR
CYP3A4;ATAZANAVIR
NR1I2;ATAZANAVIR
SLCO1B1;ATAZANAVIR
SORCS2;ATAZANAVIR
UGT1A3;ATAZANAVIR
UGT1A7;ATAZANAVIR
F2;ATECEGATRAN METOXIL
ABCB1;ATENOLOL
ACE;ATENOLOL
ACY3;ATENOLOL
ADRA2A;ATENOLOL
ADRB1;ATENOLOL
ADRB1;ATENOLOL
ADRB1;ATENOLOL
ADRB1;ATENOLOL
ADRB1;ATENOLOL
ADRB1;ATENOLOL
ADRB1;ATENOLOL
ADRB1;ATENOLOL
ADRB2;ATENOLOL
ADRB2;ATENOLOL
ADRB2;ATENOLOL
AGT;ATENOLOL
ALDH1A2;ATENOLOL
BAX;ATENOLOL
CACNA1C;ATENOLOL
DPYS;ATENOLOL
EDN1;ATENOLOL
FTO;ATENOLOL
GALNT2;ATENOLOL
GJA1;ATENOLOL
GNB3;ATENOLOL
GRK4;ATENOLOL
LDLR;ATENOLOL
LDLR;ATENOLOL
LRRC15;ATENOLOL
NR1H3;ATENOLOL
PLA2G4A;ATENOLOL
PLEKHH2;ATENOLOL
PRKCB;ATENOLOL
PROX1;ATENOLOL
PTGS2;ATENOLOL
PTH;ATENOLOL
RRP1B;ATENOLOL
SLC25A31;ATENOLOL
SLC4A1;ATENOLOL
STN1;ATENOLOL
TBX2;ATENOLOL
TGFB1;ATENOLOL
XIRP2;ATENOLOL
ZMAT4;ATENOLOL
ALK;ATEZOLIZUMAB
ALK;ATEZOLIZUMAB
ALK;ATEZOLIZUMAB
ARID1A;ATEZOLIZUMAB
BRAF;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CD274;ATEZOLIZUMAB
CTLA4;ATEZOLIZUMAB
CX3CL1;ATEZOLIZUMAB
EGFR;ATEZOLIZUMAB
EGFR;ATEZOLIZUMAB
EGFR;ATEZOLIZUMAB
EGFR;ATEZOLIZUMAB
HLA-DRA;ATEZOLIZUMAB
JAK3;ATEZOLIZUMAB
KRAS;ATEZOLIZUMAB
KRAS;ATEZOLIZUMAB
MDM4;ATEZOLIZUMAB
PBRM1;ATEZOLIZUMAB
STK11;ATEZOLIZUMAB
ALOX15;ATHRAQUINONES A
CBX1;ATHRAQUINONES A
CYP3A4;ATHRAQUINONES A
FEN1;ATHRAQUINONES A
HPGD;ATHRAQUINONES A
HSD17B10;ATHRAQUINONES A
KDM4A;ATHRAQUINONES A
KDM4E;ATHRAQUINONES A
MAPT;ATHRAQUINONES A
POLH;ATHRAQUINONES A
OPRD1;ATICAPRANT
OPRK1;ATICAPRANT
OPRK1;ATICAPRANT
OPRM1;ATICAPRANT
MLNR;ATILMOTIN
RTN4;ATINUMAB
IL6;ATIPRIMOD
STAT3;ATIPRIMOD
TNF;ATIPRIMOD
S100A12;ATOGEPANT
CYP2D6;ATOMOXETINE
CYP2D6;ATOMOXETINE
GRIN1;ATOMOXETINE
KCNJ3;ATOMOXETINE
OPRK1;ATOMOXETINE
SLC6A2;ATOMOXETINE
SLC6A2;ATOMOXETINE
SLC6A2;ATOMOXETINE
SLC6A2;ATOMOXETINE
SLC6A2;ATOMOXETINE
SLC6A3;ATOMOXETINE
SLC6A4;ATOMOXETINE
SLC6A4;ATOMOXETINE
TSHR;ATOMOXETINE
JUN;ATOMOXETINE HYDROCHLORIDE
NAT1;ATOMOXETINE HYDROCHLORIDE
F2R;ATOPAXAR
F2R;ATOPAXAR
F2R;ATOPAXAR
RHD;ATOROLIMUMAB
ABCA1;ATORVASTATIN
ABCB1;ATORVASTATIN
ABCB1;ATORVASTATIN
ABCC2;ATORVASTATIN
ABCG2;ATORVASTATIN
ABCG8;ATORVASTATIN
ACE;ATORVASTATIN
AGTR1;ATORVASTATIN
AGTR1;ATORVASTATIN
AHR;ATORVASTATIN
APOA5;ATORVASTATIN
APOB;ATORVASTATIN
APOE;ATORVASTATIN
BDKRB2;ATORVASTATIN
BGLAP;ATORVASTATIN
CD40LG;ATORVASTATIN
CETP;ATORVASTATIN
COQ2;ATORVASTATIN
CXCL10;ATORVASTATIN
CYP2C19;ATORVASTATIN
CYP2C8;ATORVASTATIN
CYP2C9;ATORVASTATIN
CYP2D6;ATORVASTATIN
CYP3A4;ATORVASTATIN
CYP3A4;ATORVASTATIN
CYP3A5;ATORVASTATIN
CYP7A1;ATORVASTATIN
DPP4;ATORVASTATIN
FAS;ATORVASTATIN
FDPS;ATORVASTATIN
FGF2;ATORVASTATIN
HDAC2;ATORVASTATIN
HLA-DRB1;ATORVASTATIN
HMGCR;ATORVASTATIN
HMGCR;ATORVASTATIN
HMGCR;ATORVASTATIN
HMGCR;ATORVASTATIN
HMGCR;ATORVASTATIN
HMGCR;ATORVASTATIN
HSPD1;ATORVASTATIN
HTR3B;ATORVASTATIN
HTR7;ATORVASTATIN
IL2RA;ATORVASTATIN
ITGAM;ATORVASTATIN
KIF6;ATORVASTATIN
LDLR;ATORVASTATIN
LEPR;ATORVASTATIN
LIPC;ATORVASTATIN
MAPK10;ATORVASTATIN
MTTP;ATORVASTATIN
MYLIP;ATORVASTATIN
NOS1;ATORVASTATIN
NR1I2;ATORVASTATIN
NR1I3;ATORVASTATIN
PIK3CG;ATORVASTATIN
PLAT;ATORVASTATIN
PON1;ATORVASTATIN
POR;ATORVASTATIN
PPARD;ATORVASTATIN
RYR2;ATORVASTATIN
SCAP;ATORVASTATIN
SCARB1;ATORVASTATIN
SLCO1B1;ATORVASTATIN
SLCO1B3;ATORVASTATIN
SLCO2B1;ATORVASTATIN
SOAT1;ATORVASTATIN
TFPI;ATORVASTATIN
TGM2;ATORVASTATIN
TNF;ATORVASTATIN
UGT1A1;ATORVASTATIN
UGT1A3;ATORVASTATIN
UGT2B7;ATORVASTATIN
HMGCR;ATORVASTATIN CALCIUM
NFE2L2;ATORVASTATIN CALCIUM
AVPR1A;ATOSIBAN
AVPR1A;ATOSIBAN
AVPR1A;ATOSIBAN
AVPR1B;ATOSIBAN
AVPR1B;ATOSIBAN
AVPR1B;ATOSIBAN
AVPR2;ATOSIBAN
AVPR2;ATOSIBAN
AVPR2;ATOSIBAN
OXTR;ATOSIBAN
OXTR;ATOSIBAN
OXTR;ATOSIBAN
DHODH;ATOVAQUONE
NFE2L2;ATOVAQUONE
BCKDK;ATPGAMMAS
BST1;ATPGAMMAS
PFKFB1;ATPGAMMAS
PMS2;ATPGAMMAS
SYN1;ATPGAMMAS
TP53;ATRACTYLENOLIDE I
CHRNA1;ATRACURIUM
CHRNA2;ATRACURIUM
CHRNA2;ATRACURIUM
CHRNA3;ATRACURIUM
CHRNA4;ATRACURIUM
CHRNA4;ATRACURIUM
CHRNA7;ATRACURIUM
AR;ATRACURIUM BESYLATE
CHRNA1;ATRACURIUM BESYLATE
CHRNB1;ATRACURIUM BESYLATE
CHRND;ATRACURIUM BESYLATE
CHRNE;ATRACURIUM BESYLATE
CHRNG;ATRACURIUM BESYLATE
CYP3A4;ATRANORIN
EDNRA;ATRASENTAN
EDNRA;ATRASENTAN
EDNRA;ATRASENTAN
EDNRA;ATRASENTAN
EDNRB;ATRASENTAN
SLCO1B1;ATRASENTAN
EDNRA;ATRASENTAN HYDROCHLORIDE
ALOX5;ATRELEUTON
ALOX5;ATRELEUTON
ADRA2A;ATROPINE
AR;ATROPINE
CHRM1;ATROPINE
CHRM1;ATROPINE
CHRM1;ATROPINE
CHRM1;ATROPINE
CHRM1;ATROPINE
CHRM1;ATROPINE
CHRM2;ATROPINE
CHRM2;ATROPINE
CHRM2;ATROPINE
CHRM2;ATROPINE
CHRM2;ATROPINE
CHRM3;ATROPINE
CHRM3;ATROPINE
CHRM3;ATROPINE
CHRM3;ATROPINE
CHRM3;ATROPINE
CHRM4;ATROPINE
CHRM4;ATROPINE
CHRM4;ATROPINE
CHRM4;ATROPINE
CHRM5;ATROPINE
CHRM5;ATROPINE
CHRM5;ATROPINE
CHRM5;ATROPINE
CHRM5;ATROPINE
CHRNA4;ATROPINE
CHRNB2;ATROPINE
CXCL10;ATROPINE
CYP19A1;ATROPINE
CYP3A5;ATROPINE
F2R;ATROPINE
GLRA1;ATROPINE
GUCA2A;ATROPINE
AR;ATROPINE METHYLBROMIDE
CHRM1;ATROPINE SULFATE
CHRM2;ATROPINE SULFATE
CHRM3;ATROPINE SULFATE
PKN3;ATU-027
PKN3;ATU-027
PPARG;ATX08-001
PPARG;ATX08-001
AQP3;AUPHEN
AQP7;AUPHEN
IKBKB;AURANOFIN
IKBKB;AURANOFIN
IKBKB;AURANOFIN
PRDX5;AURANOFIN
TRPA1;AURANOFIN
HSD17B10;AURAPTENE
ATAD5;AURIN
ATXN2;AURIN
CYP3A4;AURIN
GLP1R;AURIN
GMNN;AURIN
HPGD;AURIN
IDH1;AURIN
MITF;AURIN
NFE2L2;AURIN
PAX8;AURIN
VDR;AURIN
ALOX15;AURINTRICARBOXYLIC ACID
ALOX15B;AURINTRICARBOXYLIC ACID
APEX1;AURINTRICARBOXYLIC ACID
BAZ2B;AURINTRICARBOXYLIC ACID
BLM;AURINTRICARBOXYLIC ACID
BRCA1;AURINTRICARBOXYLIC ACID
CBFB;AURINTRICARBOXYLIC ACID
CBX1;AURINTRICARBOXYLIC ACID
CYP1A2;AURINTRICARBOXYLIC ACID
CYP2C19;AURINTRICARBOXYLIC ACID
CYP2C9;AURINTRICARBOXYLIC ACID
EHMT2;AURINTRICARBOXYLIC ACID
FEN1;AURINTRICARBOXYLIC ACID
GALK1;AURINTRICARBOXYLIC ACID
HSD17B10;AURINTRICARBOXYLIC ACID
KAT2A;AURINTRICARBOXYLIC ACID
KMT2A;AURINTRICARBOXYLIC ACID
MAPT;AURINTRICARBOXYLIC ACID
MPHOSPH8;AURINTRICARBOXYLIC ACID
PIN1;AURINTRICARBOXYLIC ACID
POLB;AURINTRICARBOXYLIC ACID
POLH;AURINTRICARBOXYLIC ACID
POLI;AURINTRICARBOXYLIC ACID
POLK;AURINTRICARBOXYLIC ACID
RECQL;AURINTRICARBOXYLIC ACID
RGS4;AURINTRICARBOXYLIC ACID
RUNX1;AURINTRICARBOXYLIC ACID
TDP1;AURINTRICARBOXYLIC ACID
USP1;AURINTRICARBOXYLIC ACID
USP2;AURINTRICARBOXYLIC ACID
VDR;AURINTRICARBOXYLIC ACID
ADCY1;AUROTHIOGLUCOSE
ADCY2;AUROTHIOGLUCOSE
ADCY5;AUROTHIOGLUCOSE
TFRC;AURYXIA
ESR2;AUS-131
ESR2;AUS-131
ESR2;AUS-131
ESR2;AUS-131
SHBG;AUS-131
ABCB1;AUSTOCYSTIN D
GRIN1;AV-101
GRIN2A;AV-101
GRIN2B;AV-101
GRIN2C;AV-101
GRIN2D;AV-101
GRIN3A;AV-101
GRIN3B;AV-101
ERBB3;AV-203
ERBB3;AV-203
C5;AVACINCAPTAD PEGOL SODIUM
C5;AVACINCAPTAD PEGOL SODIUM
C5AR1;AVACOPAN
C5AR1;AVACOPAN
CRBN;AVADOMIDE
CRBN;AVADOMIDE
AD5;AVAGACESTAT
APH1A;AVAGACESTAT
APH1A;AVAGACESTAT
APH1B;AVAGACESTAT
APH1B;AVAGACESTAT
NCSTN;AVAGACESTAT
NCSTN;AVAGACESTAT
PSEN1;AVAGACESTAT
PSEN1;AVAGACESTAT
PSEN1;AVAGACESTAT
PSEN2;AVAGACESTAT
PSENEN;AVAGACESTAT
PSENEN;AVAGACESTAT
PDE5A;AVANAFIL
PDE5A;AVANAFIL
PDE5A;AVANAFIL
PDE5A;AVANAFIL
KIT;AVAPRITINIB
KIT;AVAPRITINIB
KIT;AVAPRITINIB
KIT;AVAPRITINIB
KIT;AVAPRITINIB
PDGFRA;AVAPRITINIB
PDGFRA;AVAPRITINIB
PDGFRA;AVAPRITINIB
CES1;AVASIMIBE
TP53;AVASTIN
ABCG2;AVATROMBOPAG
CYP2C9;AVATROMBOPAG
CYP2C9;AVATROMBOPAG
F2;AVATROMBOPAG
F2;AVATROMBOPAG
F5;AVATROMBOPAG
F5;AVATROMBOPAG
MPL;AVATROMBOPAG
MPL;AVATROMBOPAG
MPL;AVATROMBOPAG
MPL;AVATROMBOPAG
PROC;AVATROMBOPAG
PROC;AVATROMBOPAG
PROS1;AVATROMBOPAG
PROS1;AVATROMBOPAG
SERPINC1;AVATROMBOPAG
SERPINC1;AVATROMBOPAG
SLC22A8;AVATROMBOPAG
PPARD;AVE0847
PPARG;AVE0847
IGF1R;AVE-1642
PPARA;AVE8134
MAPK14;AVE-9940
CD274;AVELUMAB
CD274;AVELUMAB
CD274;AVELUMAB
CD274;AVELUMAB
CD274;AVELUMAB
CD274;AVELUMAB
CD274;AVELUMAB
CD274;AVELUMAB
EGFR;AVELUMAB
LHCGR;AVICINE
HTR1B;AVITRIPTAN
HTR1D;AVITRIPTAN
CHRNA7;AVL-3288
CHRNA7;AVL-3288
IMPDH1;AVN-944
IMPDH2;AVN-944
APEX1;AVOBENZONE
KAT2A;AVOBENZONE
RECQL;AVOBENZONE
TDP1;AVOBENZONE
ALDH1A1;AVOCADYNE ACETATE
KLK2;AVORALSTAT
KNG1;AVORALSTAT
EDNRA;AVOSENTAN
EDNRA;AVOSENTAN
EDNRA;AVOSENTAN
TGFB3;AVOTERMIN
OPRM1;AXELOPRAN
OPRM1;AXELOPRAN
ABL1;AXITINIB
ABL1;AXITINIB
ABL1;AXITINIB
CYP3A5;AXITINIB
FLT1;AXITINIB
FLT1;AXITINIB
FLT1;AXITINIB
FLT1;AXITINIB
FLT1;AXITINIB
FLT1;AXITINIB
FLT1;AXITINIB
FLT1;AXITINIB
FLT4;AXITINIB
FLT4;AXITINIB
FLT4;AXITINIB
FLT4;AXITINIB
FLT4;AXITINIB
FLT4;AXITINIB
FLT4;AXITINIB
HIF1A;AXITINIB
KDR;AXITINIB
KDR;AXITINIB
KDR;AXITINIB
KDR;AXITINIB
KDR;AXITINIB
KDR;AXITINIB
KDR;AXITINIB
KDR;AXITINIB
KDR;AXITINIB
KDR;AXITINIB
KIT;AXITINIB
KIT;AXITINIB
KIT;AXITINIB
KIT;AXITINIB
PDGFB;AXITINIB
PDGFRA;AXITINIB
PDGFRB;AXITINIB
PDGFRB;AXITINIB
PDGFRB;AXITINIB
PLK4;AXITINIB
UGT1A1;AXITINIB
VHL;AXITINIB
YES1;AXITINIB
THRB;AXITIROME
IGF1R;AXL-1717
IGF1R;AXL-1717
IGF1R;AXL-1717
OPRD1;AXOMADOL
OPRK1;AXOMADOL
OPRM1;AXOMADOL
TNF;AZ9773
ABL1;AZACITIDINE
AFP;AZACITIDINE
ALDH1A1;AZACITIDINE
AR;AZACITIDINE
ASXL1;AZACITIDINE
ATAD5;AZACITIDINE
CD247;AZACITIDINE
CDA;AZACITIDINE
DNMT1;AZACITIDINE
DNMT1;AZACITIDINE
DNMT1;AZACITIDINE
DNMT1;AZACITIDINE
DNMT1;AZACITIDINE
DNMT1;AZACITIDINE
DNMT3A;AZACITIDINE
FLT3;AZACITIDINE
FLT3;AZACITIDINE
GATA2;AZACITIDINE
GGT1;AZACITIDINE
GMNN;AZACITIDINE
GSTP1;AZACITIDINE
HBB;AZACITIDINE
HTT;AZACITIDINE
IDH1;AZACITIDINE
IDH1;AZACITIDINE
IL11;AZACITIDINE
LIF;AZACITIDINE
MGMT;AZACITIDINE
MYC;AZACITIDINE
NFE2L2;AZACITIDINE
NR3C1;AZACITIDINE
PLAU;AZACITIDINE
RORC;AZACITIDINE
SMAD3;AZACITIDINE
TAGLN;AZACITIDINE
TET2;AZACITIDINE
TG;AZACITIDINE
THPO;AZACITIDINE
TP53;AZACITIDINE
TRIT1;AZACITIDINE
TYMS;AZACITIDINE
ABL1;AZAKENPAULLONE
CDK2;AZAKENPAULLONE
CSNK2A1;AZAKENPAULLONE
DYRK1A;AZAKENPAULLONE
FLT4;AZAKENPAULLONE
FYN;AZAKENPAULLONE
GSK3A;AZAKENPAULLONE
GSK3B;AZAKENPAULLONE
LCK;AZAKENPAULLONE
PIM1;AZAKENPAULLONE
CYP19A1;AZALANSTAT
CYP51A1;AZALANSTAT
AR;AZAMETHIPHOS
NFE2L2;AZAMETHIPHOS
AR;AZARIBINE
SMN1;AZARIBINE
SMN2;AZARIBINE
AR;AZASERINE
KDM4A;AZASERINE
NTS;AZASERINE
SMOX;AZASERINE
VIP;AZASERINE
HTR3A;AZASETRON
HRH1;AZATADINE
HRH1;AZATADINE
HRH1;AZATADINE
HRH1;AZATADINE
HRH1;AZATADINE MALEATE
ABCC4;AZATHIOPRINE
AOX1;AZATHIOPRINE
ATAD5;AZATHIOPRINE
CYP1A2;AZATHIOPRINE
CYP2C19;AZATHIOPRINE
CYP2C9;AZATHIOPRINE
CYP2D6;AZATHIOPRINE
CYP3A4;AZATHIOPRINE
DDRGK1;AZATHIOPRINE
FTO;AZATHIOPRINE
GSTM1;AZATHIOPRINE
HBB;AZATHIOPRINE
HLA-DQA1;AZATHIOPRINE
HLA-DRB1;AZATHIOPRINE
IDH1;AZATHIOPRINE
ITPA;AZATHIOPRINE
NFE2L2;AZATHIOPRINE
NUDT15;AZATHIOPRINE
NUDT15;AZATHIOPRINE
NUDT15;AZATHIOPRINE
PPAT;AZATHIOPRINE
PPAT;AZATHIOPRINE
PTH;AZATHIOPRINE
RAC1;AZATHIOPRINE
TP53;AZATHIOPRINE
TPMT;AZATHIOPRINE
TSHB;AZATHIOPRINE
TYMS;AZATHIOPRINE
TYMSOS;AZATHIOPRINE
PPAT;AZATHIOPRINE SODIUM
ATM;AZD-0156
ATM;AZD-0156
CHRNA7;AZD0328
CHRNA7;AZD0328
ABL1;AZD-0424
SRC;AZD-0424
CAMK2A;AZD-1080
CAMK2G;AZD-1080
CDK1;AZD-1080
CDK2;AZD-1080
CDK5;AZD-1080
CDK7;AZD-1080
CLK4;AZD-1080
DYRK1B;AZD-1080
DYRK3;AZD-1080
GSK3A;AZD-1080
GSK3B;AZD-1080
GSK3B;AZD-1080
MARK2;AZD-1080
MINK1;AZD-1080
PIM3;AZD-1080
PRKD2;AZD-1080
SGK2;AZD-1080
STK17A;AZD-1080
AURKA;AZD-1152-HQPA
AURKB;AZD-1152-HQPA
AURKB;AZD-1152-HQPA
BLK;AZD-1152-HQPA
BTK;AZD-1152-HQPA
CHEK2;AZD-1152-HQPA
CSNK1D;AZD-1152-HQPA
EGFR;AZD-1152-HQPA
ERBB4;AZD-1152-HQPA
FLT1;AZD-1152-HQPA
FLT3;AZD-1152-HQPA
FLT4;AZD-1152-HQPA
KDR;AZD-1152-HQPA
LCK;AZD-1152-HQPA
LYN;AZD-1152-HQPA
MAP4K2;AZD-1152-HQPA
MAP4K4;AZD-1152-HQPA
MAP4K5;AZD-1152-HQPA
MST1R;AZD-1152-HQPA
PAK1;AZD-1152-HQPA
PDGFRA;AZD-1152-HQPA
PDGFRB;AZD-1152-HQPA
RET;AZD-1152-HQPA
PIM1;AZD-1208
PIM2;AZD-1208
PIM3;AZD-1208
MMP12;AZD-1236
MMP9;AZD-1236
CACNA1C;AZD1305
CACNA1D;AZD1305
CACNA1F;AZD1305
CACNA1S;AZD1305
ERG;AZD1305
SCN5A;AZD1305
TRPV1;AZD1386
TRPV1;AZD1386
CHRNA4;AZD1446
CHRNB2;AZD1446
JAK1;AZD-1480
JAK1;AZD-1480
JAK2;AZD-1480
JAK2;AZD-1480
JAK2;AZD-1480
JAK2;AZD-1480
JAK2;AZD-1480
JAK3;AZD-1480
RET;AZD-1480
STAT3;AZD-1480
STAT5A;AZD-1480
GCK;AZD-1656
GCK;AZD-1656
PTGDR2;AZD1981
PTGDR2;AZD1981
PTGDR2;AZD1981
MTOR;AZD-2014
GRM5;AZD2066
GRM5;AZD2066
CNR1;AZD2207
CCR2;AZD2423
CCR2;AZD2423
CCR2;AZD2423
GRM5;AZD2516
GABRG3;AZD-3043
SCN9A;AZD3161
ADRB2;AZD3199
ADRB2;AZD3199
AR;AZD3514
AR;AZD3514
EGFR;AZD-3759
BACE1;AZD-3839
BACE1;AZD-3839
AGTR2;AZD-4017
CCKBR;AZD-4017
HSD11B1;AZD-4017
HSD11B1;AZD-4017
FGFR1;AZD-4547
FGFR2;AZD-4547
FGFR3;AZD-4547
FGFR4;AZD-4547
EGFR;AZD-4769
KRAS;AZD-4785
KRAS;AZD-4785
CCR1;AZD4818
KIF11;AZD-4877
KIF11;AZD-4877
BRD4;AZD-5153
KMT2A;AZD-5153
NRAS;AZD-5153
AR;AZD-5312
AKT1;AZD-5363
AKT2;AZD-5363
AKT3;AZD-5363
CDK1;AZD-5438
CDK10;AZD-5438
CDK11B;AZD-5438
CDK12;AZD-5438
CDK13;AZD-5438
CDK14;AZD-5438
CDK15;AZD-5438
CDK16;AZD-5438
CDK17;AZD-5438
CDK18;AZD-5438
CDK19;AZD-5438
CDK2;AZD-5438
CDK2;AZD-5438
CDK20;AZD-5438
CDK4;AZD-5438
CDK5;AZD-5438
CDK6;AZD-5438
CDK7;AZD-5438
CDK8;AZD-5438
CDK9;AZD-5438
CDKN3;AZD-5438
CCR5;AZD5672
CCR5;AZD5672
MCL1;AZD-5991
GABRA2;AZD6280
GABRA3;AZD6280
ATM;AZD-6482
BRAF;AZD-6482
PIK3CA;AZD-6482
PIK3CA;AZD-6482
PIK3CA;AZD-6482
PIK3CB;AZD-6482
PIK3CB;AZD-6482
PIK3CD;AZD-6482
PIK3CD;AZD-6482
PIK3CG;AZD-6482
PIK3CG;AZD-6482
PIK3R1;AZD-6482
PIK3R2;AZD-6482
PIK3R3;AZD-6482
PIK3R5;AZD-6482
PTEN;AZD-6482
TP53;AZD-6482
MAPK14;AZD-6703
NTRK1;AZD-6918
NTRK2;AZD-6918
NTRK3;AZD-6918
CALCA;AZD7009
ERG;AZD7009
SCN5A;AZD7009
GABRA2;AZD7325
GABRA2;AZD7325
GABRA2;AZD7325
GABRA3;AZD7325
GABRA3;AZD7325
GABRA3;AZD7325
MTNR1A;AZD7325
NTRK1;AZD-7451
NTRK2;AZD-7451
NTRK3;AZD-7451
MAPK14;AZD-7624
DGAT1;AZD-7687
DGAT1;AZD-7687
CHEK1;AZD-7762
CHEK1;AZD-7762
CHEK1;AZD-7762
CHEK1;AZD-7762
CHEK2;AZD-7762
TP53;AZD-7762
YES1;AZD-7762
AKT1S1;AZD-8055
DEPTOR;AZD-8055
ERBB2;AZD-8055
FGFR1;AZD-8055
FKBP1A;AZD-8055
HRAS;AZD-8055
KRAS;AZD-8055
MAPKAP1;AZD-8055
MLST8;AZD-8055
MTOR;AZD-8055
MTOR;AZD-8055
MTOR;AZD-8055
MTOR;AZD-8055
PIK3CA;AZD-8055
PTEN;AZD-8055
RICTOR;AZD-8055
RPTOR;AZD-8055
STK11;AZD-8055
GRIN1;AZD8108
GRIN2A;AZD8108
GRIN2B;AZD8108
GRIN2C;AZD8108
GRIN2D;AZD8108
GRIN3A;AZD8108
GRIN3B;AZD8108
F2;AZD-8165
KRAS;AZD-8186
PIK3CA;AZD-8186
PIK3CB;AZD-8186
PIK3CB;AZD-8186
PIK3CB;AZD-8186
PIK3CD;AZD-8186
PIK3CD;AZD-8186
PIK3CG;AZD-8186
PIK3CG;AZD-8186
PTEN;AZD-8186
PTEN;AZD-8186
MAP2K1;AZD-8330
MAP2K1;AZD-8330
MAP2K2;AZD-8330
MAP3K1;AZD-8330
CHRM3;AZD8683
KRAS;AZD-8835
PIK3CA;AZD-8835
PIK3CA;AZD-8835
PIK3CB;AZD-8835
PIK3CD;AZD-8835
PIK3CG;AZD-8835
PTEN;AZD-8835
TLR7;AZD-8848
TLR7;AZD-8848
P2RX7;AZD9056
P2RX7;AZD9056
ESR1;AZD-9496
ESR1;AZD-9496
MBNL1;AZELAIC ACID
HRH1;AZELASTINE
HRH1;AZELASTINE
HRH1;AZELASTINE
HRH1;AZELASTINE
HRH1;AZELASTINE
HRH1;AZELASTINE
HRH2;AZELASTINE
LTC4S;AZELASTINE
PLA2G1B;AZELASTINE
CYP3A4;AZELASTINE HYDROCHLORIDE
HRH1;AZELASTINE HYDROCHLORIDE
IDH1;AZELASTINE HYDROCHLORIDE
JUN;AZELASTINE HYDROCHLORIDE
AGER;AZELIRAGON
AR;AZELNIDIPINE
CACNB1;AZELNIDIPINE
GMNN;AZELNIDIPINE
ALDH1A1;AZEPANE
EHMT2;AZEPEXOLE
TRHR;AZETIRELIN
CACNA1D;AZIDOPINE
DTYMK;AZIDOTHYMIDINE MONOPHOSPHATE
GABRA1;AZIETOMIDATE
GABRA2;AZIETOMIDATE
GABRA3;AZIETOMIDATE
GABRA4;AZIETOMIDATE
GABRA5;AZIETOMIDATE
GABRA6;AZIETOMIDATE
GABRB1;AZIETOMIDATE
GABRB2;AZIETOMIDATE
GABRB3;AZIETOMIDATE
GABRD;AZIETOMIDATE
GABRE;AZIETOMIDATE
GABRG1;AZIETOMIDATE
GABRG2;AZIETOMIDATE
GABRG3;AZIETOMIDATE
GABRP;AZIETOMIDATE
GABRQ;AZIETOMIDATE
MAOB;AZILECT
AGTR1;AZILSARTAN
AGTR1;AZILSARTAN
AGTR1;AZILSARTAN
AGTR1;AZILSARTAN
AGTR1;AZILSARTAN KAMEDOXOMIL
AGTR1;AZILSARTAN MEDOXOMIL
CALCA;AZIMILIDE
KCNE1;AZIMILIDE
KCNH2;AZIMILIDE
KCNQ1;AZIMILIDE
AR;AZINPHOS-ETHYL
NFE2L2;AZINPHOS-ETHYL
RXRA;AZINPHOS-ETHYL
IL2;AZIRIDINE
ABCC1;AZITHROMYCIN
CYP1A2;AZITHROMYCIN
CYP2C19;AZITHROMYCIN
CYP2C9;AZITHROMYCIN
CYP2D6;AZITHROMYCIN
CYP3A4;AZITHROMYCIN
MLNR;AZITHROMYCIN
NOS1;AZITHROMYCIN
PADI4;AZITHROMYCIN
TFPI;AZITHROMYCIN
XDH;AZITHROMYCIN
ABL1;AZM-475271
SRC;AZM-475271
VDR;AZOCYCLOTIN
THRB;AZORUBINE
NFE2L2;AZOSEMIDE
AR;AZOXYSTROBIN
CYC1;AZOXYSTROBIN
MT-CYB;AZOXYSTROBIN
NFE2L2;AZOXYSTROBIN
UQCR10;AZOXYSTROBIN
UQCR11;AZOXYSTROBIN
UQCRB;AZOXYSTROBIN
UQCRC1;AZOXYSTROBIN
UQCRC2;AZOXYSTROBIN
UQCRFS1;AZOXYSTROBIN
UQCRH;AZOXYSTROBIN
UQCRQ;AZOXYSTROBIN
CYP19A1;AZTREONAM
CYP1A2;AZTREONAM
CYP2C19;AZTREONAM
CYP2C9;AZTREONAM
CYP2D6;AZTREONAM
CYP3A4;AZTREONAM
HSPB6;AZX-100
HLA-A;BACAMPICILLIN
AKR1C3;BACCHARIN
A2M;BACITRACIN
IDE;BACITRACIN
IDE;BACITRACIN
LTF;BACITRACIN
PRL;BACITRACIN
BDNF;BACLOFEN
FOS;BACLOFEN
GABBR1;BACLOFEN
GABBR1;BACLOFEN
GABBR1;BACLOFEN
GABBR1;BACLOFEN
GABBR1;BACLOFEN
GABBR2;BACLOFEN
GABBR2;BACLOFEN
GABBR2;BACLOFEN
GABBR2;BACLOFEN
GCG;BACLOFEN
NFE2L2;BACLOFEN
NFKB1;BACLOFEN
NOS1;BACLOFEN
TAC1;BACLOFEN
TSHB;BACLOFEN
ABCB1;BAFETINIB
ABL1;BAFETINIB
ABL1;BAFETINIB
ABL1;BAFETINIB
ABL1;BAFETINIB
LYN;BAFETINIB
